time,USD_JPY_close,USD_JPY_volume,GBP_USD_close,GBP_USD_volume,GBP_JPY_close,GBP_JPY_volume
2019-01-01T22:00:00.000000000Z,109.590,1.0,1.27583,1.0,139.822,1.0
2019-01-01T22:01:00.000000000Z,109.673,1.0,1.27470,1.0,139.824,5.0
2019-01-01T22:02:00.000000000Z,109.673,1.0,1.27477,3.0,139.806,3.0
2019-01-01T22:03:00.000000000Z,,,1.27468,3.0,139.802,1.0
2019-01-01T22:04:00.000000000Z,,,,,139.760,5.0
2019-01-01T22:05:00.000000000Z,,,1.27446,3.0,139.776,91.0
2019-01-01T22:06:00.000000000Z,109.669,1.0,1.27426,37.0,139.782,63.0
2019-01-01T22:08:00.000000000Z,,,1.27427,2.0,139.738,113.0
2019-01-01T22:09:00.000000000Z,,,,,139.736,179.0
2019-01-01T22:10:00.000000000Z,,,1.27441,6.0,139.740,206.0
2019-01-01T22:11:00.000000000Z,109.669,2.0,1.27445,2.0,139.742,12.0
2019-01-01T22:12:00.000000000Z,,,1.27476,8.0,139.780,71.0
2019-01-01T22:13:00.000000000Z,,,,,139.784,1.0
2019-01-01T22:14:00.000000000Z,109.650,4.0,,,139.788,6.0
2019-01-01T22:15:00.000000000Z,109.674,6.0,1.27454,2.0,139.804,10.0
2019-01-01T22:16:00.000000000Z,,,,,139.798,1.0
2019-01-01T22:17:00.000000000Z,,,1.27477,1.0,139.808,2.0
2019-01-01T22:18:00.000000000Z,109.639,7.0,,,139.766,6.0
2019-01-01T22:19:00.000000000Z,109.635,1.0,,,,
2019-01-01T22:20:00.000000000Z,,,,,139.760,1.0
2019-01-01T22:21:00.000000000Z,109.654,12.0,1.27421,2.0,139.736,17.0
2019-01-01T22:22:00.000000000Z,109.651,1.0,1.27476,4.0,139.776,7.0
2019-01-01T22:23:00.000000000Z,,,,,139.780,1.0
2019-01-01T22:25:00.000000000Z,109.650,3.0,,,139.780,2.0
2019-01-01T22:26:00.000000000Z,109.642,3.0,,,139.772,4.0
2019-01-01T22:27:00.000000000Z,,,,,139.768,1.0
2019-01-01T22:28:00.000000000Z,109.642,4.0,,,139.762,3.0
2019-01-01T22:29:00.000000000Z,109.666,10.0,1.27470,26.0,139.824,31.0
2019-01-01T22:30:00.000000000Z,109.646,14.0,1.27442,21.0,139.736,145.0
2019-01-01T22:31:00.000000000Z,109.654,3.0,1.27441,4.0,139.748,74.0
2019-01-01T22:32:00.000000000Z,,,1.27451,10.0,139.766,55.0
2019-01-01T22:33:00.000000000Z,,,,,139.768,104.0
2019-01-01T22:34:00.000000000Z,,,1.27452,2.0,139.774,347.0
2019-01-01T22:35:00.000000000Z,109.668,5.0,1.27475,4.0,139.830,97.0
2019-01-01T22:36:00.000000000Z,109.668,2.0,1.27463,18.0,139.798,202.0
