time,USD_JPY_close,USD_JPY_volume
2019-01-01T22:00:00.000000000Z,109.673,3
2019-01-01T22:05:00.000000000Z,109.669,1
2019-01-01T22:10:00.000000000Z,109.650,6
2019-01-01T22:15:00.000000000Z,109.635,14
2019-01-01T22:20:00.000000000Z,109.651,13
2019-01-01T22:25:00.000000000Z,109.666,20
2019-01-01T22:30:00.000000000Z,109.654,17
2019-01-01T22:35:00.000000000Z,109.668,7
2019-01-01T22:40:00.000000000Z,109.678,20
2019-01-01T22:45:00.000000000Z,109.692,39
2019-01-01T22:50:00.000000000Z,109.682,335
2019-01-01T22:55:00.000000000Z,109.684,7
2019-01-01T23:00:00.000000000Z,109.668,49
2019-01-01T23:05:00.000000000Z,109.669,40
2019-01-01T23:10:00.000000000Z,109.704,123
2019-01-01T23:15:00.000000000Z,109.708,116
2019-01-01T23:20:00.000000000Z,109.704,27
2019-01-01T23:25:00.000000000Z,109.709,54
2019-01-01T23:30:00.000000000Z,109.714,50
2019-01-01T23:35:00.000000000Z,109.672,17
2019-01-01T23:40:00.000000000Z,109.697,18
2019-01-01T23:45:00.000000000Z,109.666,47
2019-01-01T23:50:00.000000000Z,109.660,47
2019-01-01T23:55:00.000000000Z,109.672,33
2019-01-02T00:00:00.000000000Z,109.655,25
2019-01-02T00:05:00.000000000Z,109.631,232
2019-01-02T00:10:00.000000000Z,109.570,55
2019-01-02T00:15:00.000000000Z,109.594,66
2019-01-02T00:20:00.000000000Z,109.601,37
2019-01-02T00:25:00.000000000Z,109.564,57
2019-01-02T00:30:00.000000000Z,109.619,60
2019-01-02T00:35:00.000000000Z,109.630,43
2019-01-02T00:40:00.000000000Z,109.674,48
2019-01-02T00:45:00.000000000Z,109.648,58
2019-01-02T00:50:00.000000000Z,109.602,58
2019-01-02T00:55:00.000000000Z,109.629,57
2019-01-02T01:00:00.000000000Z,109.584,88
2019-01-02T01:05:00.000000000Z,109.626,67
2019-01-02T01:10:00.000000000Z,109.672,50
2019-01-02T01:15:00.000000000Z,109.652,46
2019-01-02T01:20:00.000000000Z,109.655,21
2019-01-02T01:25:00.000000000Z,109.664,24
2019-01-02T01:30:00.000000000Z,109.666,28
2019-01-02T01:35:00.000000000Z,109.659,66
2019-01-02T01:40:00.000000000Z,109.636,57
2019-01-02T01:45:00.000000000Z,109.653,67
2019-01-02T01:50:00.000000000Z,109.619,95
2019-01-02T01:55:00.000000000Z,109.598,108
2019-01-02T02:00:00.000000000Z,109.568,127
2019-01-02T02:05:00.000000000Z,109.571,69
2019-01-02T02:10:00.000000000Z,109.512,94
2019-01-02T02:15:00.000000000Z,109.481,63
2019-01-02T02:20:00.000000000Z,109.450,197
2019-01-02T02:25:00.000000000Z,109.434,106
2019-01-02T02:30:00.000000000Z,109.398,134
2019-01-02T02:35:00.000000000Z,109.347,92
2019-01-02T02:40:00.000000000Z,109.410,113
2019-01-02T02:45:00.000000000Z,109.404,58
2019-01-02T02:50:00.000000000Z,109.398,50
2019-01-02T02:55:00.000000000Z,109.412,78
2019-01-02T03:00:00.000000000Z,109.392,52
2019-01-02T03:05:00.000000000Z,109.386,54
2019-01-02T03:10:00.000000000Z,109.419,54
2019-01-02T03:15:00.000000000Z,109.392,45
2019-01-02T03:20:00.000000000Z,109.376,55
2019-01-02T03:25:00.000000000Z,109.364,49
2019-01-02T03:30:00.000000000Z,109.383,47
2019-01-02T03:35:00.000000000Z,109.396,47
2019-01-02T03:40:00.000000000Z,109.390,16
2019-01-02T03:45:00.000000000Z,109.404,42
2019-01-02T03:50:00.000000000Z,109.415,57
2019-01-02T03:55:00.000000000Z,109.421,60
2019-01-02T04:00:00.000000000Z,109.384,147
2019-01-02T04:05:00.000000000Z,109.366,76
2019-01-02T04:10:00.000000000Z,109.360,36
2019-01-02T04:15:00.000000000Z,109.358,23
2019-01-02T04:20:00.000000000Z,109.357,44
2019-01-02T04:25:00.000000000Z,109.352,38
2019-01-02T04:30:00.000000000Z,109.378,56
2019-01-02T04:35:00.000000000Z,109.364,48
2019-01-02T04:40:00.000000000Z,109.366,43
2019-01-02T04:45:00.000000000Z,109.378,27
2019-01-02T04:50:00.000000000Z,109.384,10
2019-01-02T04:55:00.000000000Z,109.390,24
2019-01-02T05:00:00.000000000Z,109.375,18
2019-01-02T05:05:00.000000000Z,109.401,29
2019-01-02T05:10:00.000000000Z,109.402,16
2019-01-02T05:15:00.000000000Z,109.392,30
2019-01-02T05:20:00.000000000Z,109.416,24
2019-01-02T05:25:00.000000000Z,109.400,37
2019-01-02T05:30:00.000000000Z,109.400,36
2019-01-02T05:35:00.000000000Z,109.362,46
2019-01-02T05:40:00.000000000Z,109.354,19
2019-01-02T05:45:00.000000000Z,109.375,32
2019-01-02T05:50:00.000000000Z,109.350,24
2019-01-02T05:55:00.000000000Z,109.304,68
2019-01-02T06:00:00.000000000Z,109.290,56
2019-01-02T06:05:00.000000000Z,109.210,51
2019-01-02T06:10:00.000000000Z,109.206,116
2019-01-02T06:15:00.000000000Z,109.144,69
